user_id,num_reviews
100000106576186066497,28
100001138941969576874,31
100001803525322710767,25
100001823978312264893,20
100005444090876939098,23
100008176682616801686,20
100011818898061580635,27
100013059147744154465,40
100013880800818783313,27
100015990191873509948,20
100016987658892289578,22
100021507500514341314,21
100023420397725861375,44
100025679030451760823,31
100026104734594355956,20
100035036758175119995,20
100038915484573359427,25
100039318994320461449,26
100044751886142950526,49
100046130397705393750,25
100047895040747253893,20
100049989115413836170,27
100053481435624309018,26
100055201695821805225,65
100057138914959851210,25
100058117925419797221,54
100058145030865702031,22
100060260068353151378,21
100060764795931793736,27
100062459816497780830,29
100066324376498009606,58
100067247847893690937,41
100068475068291856856,27
100070062969008352725,32
100071286292333821764,41
100076391477305613455,25
100079107557134666274,22
100081595804341452992,27
100082514091021529322,32
100086135703511448056,56
100087374678375449164,29
100092506729300377068,20
100094342638390883383,22
100095404112935271063,28
100097146954205625277,22
100098668988894684920,20
100099058558577402036,31
100099093206169132135,23
100099160319825885738,26
100099812288031588153,22
100107844156151768720,22
100108154641811026405,67
100109712371387217766,23
100111896040458078227,58
100113170311558514264,24
100113655021420085179,24
100114595509285768920,36
100117568137526297649,25
100126159422495531885,24
100127275904312638549,43
100127473677904480814,37
100131994499746883395,22
100134769147958297356,23
100134780734554770385,23
100135335773479593369,41
100138112957558912102,20
100139503878106307987,20
100140034502855384159,21
100140558118885893653,49
100144209767857247875,32
100145497698181854550,38
100151499654702832142,89
100153422325529740580,30
100160700489524866395,44
100164139777218862125,20
100167753842839155464,31
100168495501635348025,21
100171249223986156994,22
100173058587046596194,20
100173083816303820684,46
100173704455174370220,68
100174085195743824868,23
100175981593348152052,20
100176189122395113844,26
100176928909110996258,21
100179236174475755302,27
100180441902226264958,22
100182037099224618449,31
100182865244981705358,20
100183594665672533137,30
100188088167273189224,37
100188265285254866473,27
100190519854750487303,50
100192676244862220715,45
100193717492890737468,21
100197702301955819597,20
100199493416714694767,22
100200656305837097065,25
100204261290832290257,47
100206180131731784292,37
100208296354974170424,22
100209530855267532013,21
100210132681830818744,20
100213921869825670095,35
100219338790961704687,20
100220099978853076815,23
100220319399448975802,21
100221127225810556190,23
100221923300296744260,24
100223632349563859468,21
100224253653740389258,27
100224331249541557764,20
100227994605789450295,24
100230274039427443232,20
100230857891310122626,20
100231185533594953991,21
100231686891836555954,22
100236447547059839199,21
100240052392746832584,22
100248003683892563954,22
100250299584603447215,21
100255064216650304585,21
100255066763445657483,67
100255208270307388724,34
100258461889479282136,24
100258967329423232815,22
100260187973019548178,23
100262556803627967208,22
100264596132678212791,56
100265139228292640816,39
100269217124603788669,24
100269642709045059546,32
100271804213375794153,46
100272470918767993706,26
100273711851118273497,31
100279299942051857309,33
100280041149118478161,22
100280358198628413783,23
100281268545070453046,20
100282766656835722272,20
100284562054931061096,22
100287524838240758219,23
100291300257995749478,21
100292044068365093456,31
100294129438298250104,37
100297091166422644494,35
100299819204191124478,20
100299822784422318901,27
100300635380204713048,25
100301021914648427346,23
100304838594139014454,21
100306194939610174053,20
100307376109466740777,30
100308380618924547856,26
100309741987386161194,52
100313602354268004434,38
100316129557667478088,21
100317211279858455180,27
100320317241640054202,22
100332780974603954879,34
100335007975354777365,20
100336204350350971382,21
100336723108624190852,47
100337537714889246283,20
100338687277491983029,33
100339802864937592238,31
100341293262269820688,27
100343905124297025556,21
100346495203302515259,32
100348680702002171133,20
100350014591488047919,23
100355192575411522484,20
100358406831052490923,21
100359859236028508454,26
100360151030760969672,23
100364963011689914679,33
100365061533810192600,21
100365956003471422959,20
100366113117526980111,33
100366880859939674796,29
100369860002889287604,31
100373583592205207112,20
100374091869659594910,24
100374228895818506085,22
100374489227555240849,28
100378197340889834183,23
100383782525453807282,23
100387624718241689143,23
100392313867375585519,58
100392932364553407559,27
100393369041313144092,54
100394778164136410413,48
100395229290724157071,25
100396959281199993753,39
100400255439374261438,32
100403012046811538141,55
100404593177040541932,20
100406930683740405167,28
100407264374478907511,50
100410608408191984052,32
100411185880847649591,25
100418280100339933742,20
100421135048005896979,24
100423268584679417926,23
100424222753676860420,30
100430531193628683865,30
100433293457129117437,24
100438901315755366342,21
100441574923443166690,22
100444138391517916723,20
100444225130052892174,35
100444936630512595092,26
100448424514881407102,23
100449155538174115301,25
100451037209497768440,20
100451696562146950154,20
100455756939908813415,23
100463072114434772758,20
100464216297798932034,34
100467014818699662870,22
100474794919679935534,35
100474892238276633868,23
100474904522528067610,28
100475829687070960576,21
100477291628565058245,26
100478612435227610604,20
100478931766738182075,23
100480524203586694331,22
100483932031119657815,20
100485784749910669200,21
100486976480110563908,35
100495510194905346001,33
100498234162776525959,21
100502315524817970736,22
100506968905044831202,48
100508491322602516958,41
100508544503241635961,22
100512635188714218030,36
100514705374030401173,28
100520235433715292152,35
100523536865901389617,21
100525030663755463107,61
100533517727516127356,20
100537071872493627685,62
100542569864666585731,20
100544807731488853501,22
100549048347977234498,21
100549541260187657760,26
100550359459858726981,34
100556894720850529589,51
100567635375544399462,46
100569678115145725371,38
100570258241796719205,23
100570585207520868939,24
100572330015569044264,32
100573348443082318072,23
100575428438222496820,28
100577552732966968578,20
100578308237737103175,29
100581976411312259094,32
100584878798634246897,23
100584973487374128442,20
100585949189563384478,23
100587407115936003473,38
100587621594755037540,21
100588683019319620113,37
100591437507593742802,21
100593434775977903483,21
100595243558737682502,23
100598083771745107575,25
100598937526507663432,20
100599138331802992372,27
100599670112077499176,21
100602654450440336445,31
100603470629992085560,20
100605397164281739674,24
100610533320386411832,20
100610919763679239351,20
100615061037922900085,23
100621052854176760483,36
100623308492538531253,33
100626827702429630357,25
100630358511294773071,32
100632832132724092625,29
100633812952297069107,25
100636271848010073342,41
100636407143544295628,21
100638697269563238397,21
100638906959817186011,24
100640267261345984603,23
100643830551655548828,20
100647687336441643359,22
100647919385177740840,24
100649486739641990146,32
